Ref 	 Qty 	 Value 	 Digikey 	 Datasheet 	 Description
"R814, R815 "	2	 100R 	 311-100HRCT-ND 	 https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf 	" Resistor, US symbol"
SW301 	1	 SW_DIP_x08 	 CT2068ST-ND 	 https://www.ctscorp.com/wp-content/uploads/206.pdf 	" 8x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol"
U1 	1	 T20Q144C3 	 2134-T20Q144C3-ND 	 https://www.efinixinc.com/support/docsdl.php?s=ef&pn=DST20 	 IC FPGA TRION T20 144QFP
"U201, U203 "	2	 SN74LVC1G125DBVR 	 296-11603-1-ND 	 http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g125 	 IC BUF NON-INVERT 5.5V SOT23-5
"U202, U204, U205, U206, U301, U302, U303, U801, U802 "	9	 SN74LVC8T245DBR 	 296-21065-1-ND 	 https://www.ti.com/lit/ds/symlink/sn74lvc8t245.pdf 	" Octal BUS Transceivers, 3-State outputs"
U401 	1	 TLV1117LV33DCYR 	 296-28778-1-ND 	 https://www.onsemi.com/pdf/datasheet/ncp1117lp-d.pdf 	 IC REG LINEAR 3.3V 1A SOT223
U402 	1	 TLV1117LV12DCYR 	 296-28776-1-ND 	 https://www.ti.com/lit/gpn/TLV1117LV 	 IC REG LINEAR 3.3V 1A SOT223
U501 	1	 SN74LVC1G08DBVR 	 296-11601-1-ND 	 http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08 	 IC GATE AND 1CH 2-INP SOT23-5
U502 	1	 W25Q32JVSS 	 W25Q32JVSSIQCT-ND 	 http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf 	" 32Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8"
U701 	1	 PTN3366BSMP 	 568-13387-1-ND 	 https://www.nxp.com/docs/en/data-sheet/PTN3366.pdf 	 IC VIDEO LEVEL SHIFTER 32HVQFN
"U702, U703 "	2	 RCLAMP0524P 	 RCLAMP0524PCT-ND 	 https://semtech.my.salesforce.com/sfc/p/E0000000JelG/a/440000001MK2/k1amoKEAHshbxcc58ZeFJEDBUGCuP_6DIpLB6XG33.E 	 
X601 	1	 ECS-2333-500-BN-TR 	 XC1930CT-ND 	 https://ecsxtal.com/store/pdf/ecs-2325-2333.pdf 	" HCMOS Crystal Clock Oscillator, 2.5x2.0 mm SMD"
Z701 	1	 TVS_SMAJ5.0A 	 SMAJ5.0ALFCT-ND 	 https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf 	 TVS DIODE 5VWM 9.2VC DO214AA
					
    					
